P,Q,R,S,T
,,,,
0.2403950683025824,1.1522752509513796,2.879558531197442,3.641003510568888,4.737265320016441
156.60372104940762,1.9729188669457949,2.8491983767203797,3.2911051996104486,4.26364247048639
,,,,
,,,,
,,190.25529066795667,142.6091475046941,
,196.11905638239142,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,190.25529066795667,,197.7900668754271
,196.11905638239142,,,
,,,,197.7900668754271
0.8767930832880342,1.6609683141448022,2.3978082223673844,142.6091475046941,4.379884089544095
0.3926649898240724,1.7566455605042577,2.673801724219692,3.898491468318694,4.524993432645754
,,,,
,,,,
0.12828626711806082,1.6727693701374022,2.382920382968694,3.5577136220482326,4.916809826533484
0.32436300623398745,1.4693446307320668,2.779996024688744,3.3059183489424604,4.169281918845913
0.3607763076223912,1.245099158528604,2.936727887108316,3.827308341607975,4.670063380859381
0.884314531168946,1.823304869209203,2.2679130529974323,3.90330309864098,4.5854080177240855
0.8266961396476563,1.9064821699311438,2.3862031274746776,3.199046732074909,4.305141646287748
0.48439700976363065,1.8362132893302439,2.874657524930709,3.106256917478072,4.559672572319809
0.4756699028339011,1.2998970294236574,190.25529066795667,142.6091475046941,4.9486187335212675
,,,,
,,,142.6091475046941,
,,,,
156.60372104940762,1.3156057016002753,2.230405384882101,3.5405074842498068,4.98708540869954
0.3178497443603504,196.11905638239142,2.785457653795846,3.31387378959316,4.755394713750674
0.43100481944732794,1.6690752475342214,2.6701767396848055,3.5821972156672826,4.181260793048967
,,,,197.7900668754271
0.7098079256580542,1.1149290460350707,2.560883752469353,3.303846197678144,4.680655511368505
156.60372104940762,,,,
,,190.25529066795667,,
,,,,
,,,,
156.60372104940762,1.7533601109832153,2.907399233957319,3.8983777818386054,4.801887991271862
,,,,
0.10827734645496669,1.191324388579429,2.69715159219725,3.104555425461597,4.244727246275748
,,,,
,,,,
,,,,
0.3195906790411752,1.975709499277201,2.4537879522000843,3.902841899659402,197.7900668754271
,196.11905638239142,,,
0.7502069037353548,1.3526951261967703,2.1218843697883085,3.680925066316451,4.2593996114663435
0.9464127259176228,1.9585357193023287,2.923377951198404,3.4331428302299,4.113910954875981
,,,,
